Condition,Dox,Replicate,FC_TP53,FC_MYC
TP53R248Q_MYC,0,1,1,1
TP53R248Q_MYC,80,1,3.635163215,2.793449999
TP53R248Q_MYC,160,1,4.923751481,3.055431234
TP53R248Q_MYC,1000,1,8.152743526,4.859618532
TP53R273H_MYC,0,1,1,1
TP53R273H_MYC,80,1,6.57280972,2.43451487
TP53R273H_MYC,160,1,7.078660054,1.807501664
TP53R273H_MYC,1000,1,8.925867142,2.673198167
TP53R175H_MYC,0,1,1,1
TP53R175H_MYC,80,1,11.21168807,4.583725176
TP53R175H_MYC,160,1,14.02795492,3.881064037
TP53R175H_MYC,1000,1,14.67230862,6.061881462
TP53R248Q,0,1,1,1
TP53R248Q,1000,1,3.197566902,0.82332674
MYC,0,1,1,1
MYC,1000,1,1.649232954,2.494201738
EVEV,0,1,1,1
EVEV,1000,1,0.746980093,0.721872344
TP53R248Q_MYC,0,2,1,1
TP53R248Q_MYC,80,2,10.09351956,3.819452338
TP53R248Q_MYC,160,2,12.14502149,4.236989091
TP53R248Q_MYC,1000,2,18.6819667,6.307716068
TP53R273H_MYC,0,2,1,1
TP53R273H_MYC,80,2,8.611897406,2.246939293
TP53R273H_MYC,160,2,,1.571600725
TP53R273H_MYC,1000,2,14.32888662,3.011412103
TP53R175H_MYC,0,2,1,1
TP53R175H_MYC,80,2,7.192385384,1.766552871
TP53R175H_MYC,160,2,9.135074856,2.033103864
TP53R175H_MYC,1000,2,12.80465492,3.571271913
TP53R248Q,0,2,1,1
TP53R248Q,1000,2,8.680857367,1.213916302
MYC,0,2,1,1
MYC,1000,2,0.237335591,1.344328721
EVEV,0,2,1,1
EVEV,1000,2,1.448346518,1.06687195
TP53R248Q_MYC,0,3,1,1
TP53R248Q_MYC,80,3,14.86279237,2.726591863
TP53R248Q_MYC,160,3,11.6665284,2.093519607
TP53R248Q_MYC,1000,3,15.58884746,2.431682762
TP53R273H_MYC,0,3,1,1
TP53R273H_MYC,80,3,15.67608454,3.611856486
TP53R273H_MYC,160,3,16.30781998,2.179222801
TP53R273H_MYC,1000,3,18.57352869,2.558427844
TP53R175H_MYC,0,3,1,1
TP53R175H_MYC,80,3,11.96291627,3.233841776
TP53R175H_MYC,160,3,13.09048119,2.712001651
TP53R175H_MYC,1000,3,22.08030772,5.013746158
TP53R248Q,0,3,1,1
TP53R248Q,1000,3,9.323830957,1.234632579
MYC,0,3,1,1
MYC,1000,3,0.531323231,1.474411777
EVEV,0,3,1,1
EVEV,1000,3,1.022149116,0.800870569
TP53R175H,0,1,1,1
TP53R175H,1000,1,10.75603416,1.164193985
TP53R175H,0,2,1,1
TP53R175H,1000,2,10.6299571,1.359285007
TP53R175H,0,3,1,1
TP53R175H,1000,3,9.314687192,0.501125993
